UserVoice,FileName
いい点数,いいねいいね！次も頑張って！！.mp3
いい点数,さすがだね！次もこの調子でファイト！.mp3
百点,いいねいいね！次も頑張って！！.mp3
百点,さすがだね！次もこの調子でファイト！.mp3
したい,いいね！きみならできるよ！.mp3
したい,おお！頑張って！.mp3
したい,よきではないか！応援するぞよ！.mp3
したい,自分がしたいことがあるのって、素晴らしいね！頑張って！.mp3
してみたい,いいね！きみならできるよ！.mp3
してみたい,おお！頑張って！.mp3
してみたい,よきではないか！応援するぞよ！.mp3
してみたい,自分がしたいことがあるのって、素晴らしいね！頑張って！.mp3
なりたい,いいね！きみならできるよ！.mp3
なりたい,おお！頑張って！.mp3
なりたい,よきではないか！応援するぞよ！.mp3
なりたい,自分がしたいことがあるのって、素晴らしいね！頑張って！.mp3
テスト心配,テスト、心配になるね。でも、いつも頑張ってる君なら大丈夫！.mp3
テスト心配,僕が応援するよ！テスト頑張って！.mp3
テスト不安,テスト、心配になるね。でも、いつも頑張ってる君なら大丈夫！.mp3
テスト不安,僕が応援するよ！テスト頑張って！.mp3
